	ctl1	ctl2	ctl3	ctl4	treat1	treat2	treat3	treat4
ENSMUSG00000102693	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	1	0	0	0
ENSMUSG00000051951	2	0	1	1	11	2	1	24
ENSMUSG00000102851	0	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	0	0	0	0
ENSMUSG00000104017	0	0	0	0	0	0	0	0
ENSMUSG00000103025	0	0	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0	0	0
ENSMUSG00000103147	0	1	0	0	0	0	0	0
ENSMUSG00000103161	0	0	0	0	1	0	0	0
ENSMUSG00000102331	0	0	0	0	0	0	1	3
ENSMUSG00000102348	0	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0	0	0
ENSMUSG00000102948	2	0	1	1	0	0	0	0
ENSMUSG00000025900	0	0	0	0	1	0	0	2
ENSMUSG00000104123	0	0	0	0	0	0	0	0
ENSMUSG00000025902	0	0	0	0	0	0	0	0
ENSMUSG00000104238	0	0	0	0	0	0	0	0
ENSMUSG00000102269	1	0	1	1	2	2	0	11
ENSMUSG00000096126	0	0	0	0	0	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0	0	0
ENSMUSG00000104328	0	0	0	0	0	0	0	0
ENSMUSG00000102735	1	0	0	0	2	0	1	6
ENSMUSG00000098104	5	3	0	3	2	2	2	6
ENSMUSG00000102175	0	0	0	0	0	0	0	0
ENSMUSG00000088000	0	0	0	0	0	0	0	0
ENSMUSG00000103265	1	0	1	1	0	0	0	0
ENSMUSG00000103922	3	2	13	7	5	1	4	27
ENSMUSG00000033845	1159	970	926	916	1133	1290	985	6021
ENSMUSG00000102275	19	25	20	19	34	20	18	19
ENSMUSG00000025903	842	326	660	609	755	718	616	6963
ENSMUSG00000104217	0	0	0	0	0	0	0	0
ENSMUSG00000033813	938	733	823	914	652	597	506	1872
ENSMUSG00000062588	5	2	1	3	1	0	0	2
ENSMUSG00000103280	12	6	5	7	25	51	23	307
ENSMUSG00000002459	39	43	43	42	74	286	120	960
ENSMUSG00000091305	0	2	0	1	0	0	0	0
ENSMUSG00000102653	1	0	0	0	2	1	1	8
ENSMUSG00000085623	1	0	0	0	1	5	2	6
ENSMUSG00000091665	1	0	0	0	0	0	0	0
ENSMUSG00000033793	2273	2505	1793	2190	4310	4137	3488	5968
ENSMUSG00000104352	0	0	0	0	0	1	0	0
ENSMUSG00000104046	0	0	0	0	1	0	0	3
ENSMUSG00000102907	0	0	0	0	0	0	0	0
ENSMUSG00000025905	0	0	1	0	0	1	3	6
ENSMUSG00000103936	0	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0	0
ENSMUSG00000033774	1	1	0	1	5	2	1	15
ENSMUSG00000103090	0	0	0	0	0	0	0	0
ENSMUSG00000025907	4566	2823	3021	3123	7808	6168	5623	2352
ENSMUSG00000090031	99	72	94	88	288	171	186	1956
ENSMUSG00000087247	125	55	10	57	301	975	127	1684
ENSMUSG00000103355	1	0	1	1	5	11	2	25
ENSMUSG00000102706	6	2	1	3	14	19	1	12
ENSMUSG00000103845	8	5	3	6	12	18	14	60
ENSMUSG00000033740	10	7	4	7	27	9	9	8
ENSMUSG00000103329	0	0	0	0	0	0	0	0
ENSMUSG00000104385	2	0	0	1	0	2	0	3
ENSMUSG00000102135	2	5	2	3	1	5	1	20
ENSMUSG00000103282	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	1	1	0	7
ENSMUSG00000102213	0	0	0	0	0	0	0	0
ENSMUSG00000103629	3	17	7	8	3	14	9	27
